,Approach,Classifier,Flavor,identity_hate,insult,obscene,severe_toxic,threat,toxic
0,ngram,logistic,keras-SGD,0.925558491,0.9441535146,0.9520819166,0.9677629157,0.93850225,0.878589746
1,ngram,Logistic,sklearn-SAG,0.9681175791,0.9734442956,0.982830434,0.9831880812,0.9834009787000001,0.9657266915
2,ngram,sigmoid,tensorflow-ADAM,0.9584026189,0.9627446320999999,0.97406787,0.9811471951999999,0.9789713963,0.9447015101
3,ngram,rf,sklearn-SAG,0.9320284706,0.9629687098,0.9791609073,0.9635766738,0.8915988486,0.9514062293000001
4,rnn,logistic,tensorflow-ADAM,0.611308733,0.6406646286,0.6351664260000001,0.6805355309000001,0.6956968684999999,0.6170645754999999
7,GRU-perclass,logistic,pooled,0.973996448968,0.975980920119,0.9800850947059999,0.987309172432,0.9827543415960001,0.9701838211280001
7,GRU-perclass,logistic,pooled-attention,0.973393689441,0.974665322041,0.9799599695640001,0.9878169492000001,0.9825148575560001,0.970075422912
8,ngram,logistic,sklearn-SAG,0.9132362152375431,0.9097290520976176,0.9083953062465309,0.9431440509722557,0.9370481673931901,0.8897225143184477
